model,query_mode,index,r_precision,ndcg@10,r_precision_literal,ndcg@10_literal,r_precision_idiomatic,ndcg@10_idiomatic,num_queries,num_queries_literal,num_queries_idiomatic
BAAI/bge-base-en-v1.5,sentence,lit_sim_sense,0.18623333333333336,0.32748339964168993,0.2495666666666667,0.4348775469988347,0.1229,0.22008925228454518,1500,750,750
BAAI/bge-base-en-v1.5,span,lit_sim_sense,0.20859999999999998,0.3562964480768675,0.3004666666666667,0.5057898746713625,0.11673333333333333,0.20680302148237245,1500,750,750
BAAI/bge-base-en-v1.5,instruction_sentence,lit_sim_sense,0.17475,0.2854696124530038,0.3279,0.5482515304193428,0.021599999999999998,0.022687694486664762,1500,750,750
BAAI/bge-base-en-v1.5,instruction_span,lit_sim_sense,0.2136,0.3506705838180039,0.3950666666666666,0.6639766774505296,0.03213333333333333,0.0373644901854783,1500,750,750
BAAI/bge-m3,sentence,lit_sim_sense,0.20459999999999998,0.36124902544595877,0.24856666666666663,0.4332767714912593,0.16063333333333332,0.2892212794006583,1500,750,750
BAAI/bge-m3,span,lit_sim_sense,0.2709333333333333,0.42340730443656677,0.403,0.6099799745576295,0.13886666666666667,0.23683463431550403,1500,750,750
BAAI/bge-m3,instruction_sentence,lit_sim_sense,0.21895,0.3693165345157763,0.36873333333333325,0.6265282987334525,0.06916666666666667,0.1121047702981001,1500,750,750
BAAI/bge-m3,instruction_span,lit_sim_sense,0.31225,0.4330730484921845,0.5721999999999999,0.8084885839469046,0.0523,0.05765751303746432,1500,750,750
Qwen/Qwen3-Embedding-0.6B,sentence,lit_sim_sense,0.15530000000000002,0.2815290159624441,0.1864,0.33393202559436624,0.1242,0.22912600633052196,1500,750,750
Qwen/Qwen3-Embedding-0.6B,span,lit_sim_sense,0.24344999999999997,0.3805314488151548,0.3278,0.5066690754576911,0.1591,0.2543938221726184,1500,750,750
Qwen/Qwen3-Embedding-0.6B,instruction_sentence,lit_sim_sense,0.24828333333333333,0.4041679438595157,0.3540666666666667,0.5521623252923351,0.1425,0.25617356242669626,1500,750,750
Qwen/Qwen3-Embedding-0.6B,instruction_span,lit_sim_sense,0.28335,0.41738847424580533,0.42939999999999995,0.6328409147186624,0.1373,0.2019360337729481,1500,750,750
Qwen/Qwen3-Embedding-4B,sentence,lit_sim_sense,0.19796666666666665,0.3411734763661355,0.22766666666666666,0.39115983582403663,0.16826666666666668,0.2911871169082344,1500,750,750
Qwen/Qwen3-Embedding-4B,span,lit_sim_sense,0.23865000000000003,0.3812196249265301,0.2892,0.46260492818708926,0.1881,0.2998343216659711,1500,750,750
Qwen/Qwen3-Embedding-4B,instruction_sentence,lit_sim_sense,0.2619666666666667,0.4215881648635168,0.30426666666666663,0.47680070694844306,0.21966666666666668,0.36637562277859054,1500,750,750
Qwen/Qwen3-Embedding-4B,instruction_span,lit_sim_sense,0.3625,0.5367492116639014,0.42373333333333335,0.6255285129061002,0.3012666666666666,0.4479699104217027,1500,750,750
bm25,sentence,lit_sim_sense,0.3262833333333333,0.42995561801773907,0.5843333333333334,0.7016530553733498,0.06823333333333333,0.15825818066212813,1500,750,750
bm25,span,lit_sim_sense,0.4843166666666667,0.4862129487457771,0.9683666666666666,0.9720346756271894,0.0002666666666666667,0.0003912218643648494,1500,750,750
facebook/contriever,sentence,lit_sim_sense,0.08639999999999999,0.178312882589019,0.11643333333333332,0.2311524628869933,0.056366666666666676,0.1254733022910447,1500,750,750
facebook/contriever,span,lit_sim_sense,0.30435,0.417783502289768,0.5559666666666666,0.7660168392921234,0.052733333333333327,0.06955016528741277,1500,750,750
facebook/contriever,instruction_sentence,lit_sim_sense,0.12345,0.22797521587789768,0.1981,0.3559239662090016,0.04879999999999999,0.10002646554679381,1500,750,750
facebook/contriever,instruction_span,lit_sim_sense,0.34195,0.4386207371410974,0.6481666666666667,0.8423637221843665,0.03573333333333334,0.03487775209782815,1500,750,750
facebook/drama-1b,sentence,lit_sim_sense,0.18189999999999998,0.3221553339492173,0.2069666666666667,0.3561165417750204,0.15683333333333332,0.2881941261234142,1500,750,750
facebook/drama-1b,span,lit_sim_sense,0.4347166666666667,0.5467217677953439,0.6595,0.8311987820927531,0.2099333333333333,0.26224475349793475,1500,750,750
facebook/drama-1b,instruction_sentence,lit_sim_sense,0.19970000000000002,0.3346327147078229,0.3568,0.6108440312519184,0.042600000000000006,0.058421398163727295,1500,750,750
facebook/drama-1b,instruction_span,lit_sim_sense,0.4231833333333334,0.49411447723911306,0.7322666666666667,0.8936383558983089,0.11410000000000001,0.09459059857991717,1500,750,750
hkunlp/instructor-base,sentence,lit_sim_sense,0.18373333333333336,0.332963308690014,0.2402,0.4191145831287519,0.12726666666666667,0.24681203425127607,1500,750,750
hkunlp/instructor-base,span,lit_sim_sense,0.007416666666666667,0.007204821774252126,0.006466666666666667,0.0057269004448684034,0.008366666666666666,0.008682743103635848,1500,750,750
hkunlp/instructor-base,instruction_sentence,lit_sim_sense,0.19268333333333332,0.33467529671725593,0.3121333333333333,0.5358815957829807,0.07323333333333334,0.13346899765153122,1500,750,750
hkunlp/instructor-base,instruction_span,lit_sim_sense,0.005433333333333333,0.004686182204894737,0.005666666666666667,0.005085248499090462,0.005200000000000001,0.004287115910699013,1500,750,750
intfloat/e5-base-v2,sentence,lit_sim_sense,0.18515,0.3311630536555457,0.245,0.4206093632306726,0.1253,0.2417167440804188,1500,750,750
intfloat/e5-base-v2,span,lit_sim_sense,0.26975,0.4279599717997741,0.38526666666666665,0.5805000857333367,0.15423333333333336,0.27541985786621165,1500,750,750
intfloat/e5-base-v2,instruction_sentence,lit_sim_sense,0.20941666666666667,0.35034358018747175,0.3511666666666667,0.585178991935309,0.06766666666666667,0.11550816843963468,1500,750,750
intfloat/e5-base-v2,instruction_span,lit_sim_sense,0.30391666666666667,0.4402117299649636,0.5141000000000001,0.7353042770954774,0.09373333333333335,0.14511918283444977,1500,750,750
intfloat/multilingual-e5-large-instruct,sentence,lit_sim_sense,0.24288333333333337,0.408082064161288,0.3010666666666667,0.49904283234533675,0.1847,0.3171212959772393,1500,750,750
intfloat/multilingual-e5-large-instruct,span,lit_sim_sense,0.33158333333333334,0.5054226525756051,0.4455,0.6537556400230518,0.21766666666666667,0.35708966512815854,1500,750,750
intfloat/multilingual-e5-large-instruct,instruction_sentence,lit_sim_sense,0.2804666666666667,0.4465875225702534,0.4079999999999999,0.6272674812781917,0.15293333333333334,0.26590756386231523,1500,750,750
intfloat/multilingual-e5-large-instruct,instruction_span,lit_sim_sense,0.36461666666666664,0.513871288804326,0.5613333333333334,0.7709469447853283,0.16789999999999997,0.2567956328233238,1500,750,750
orionweller/tart-dual-contriever-msmarco,sentence,lit_sim_sense,0.11158333333333334,0.22334038714167825,0.15303333333333335,0.29420727497503646,0.07013333333333334,0.15247349930831997,1500,750,750
orionweller/tart-dual-contriever-msmarco,span,lit_sim_sense,0.3372666666666667,0.44602008924511527,0.6124666666666666,0.8101385655814041,0.06206666666666667,0.08190161290882651,1500,750,750
orionweller/tart-dual-contriever-msmarco,instruction_sentence,lit_sim_sense,0.15275,0.27469910076601944,0.2576333333333334,0.4559070322729414,0.047866666666666675,0.09349116925909755,1500,750,750
orionweller/tart-dual-contriever-msmarco,instruction_span,lit_sim_sense,0.3765,0.4611481320145372,0.7259333333333334,0.901366291766292,0.027066666666666662,0.020929972262782273,1500,750,750
sentence-transformers/all-MiniLM-L6-v2,sentence,lit_sim_sense,0.16066666666666668,0.2713536203208359,0.2574333333333333,0.42065736527009245,0.06390000000000001,0.1220498753715793,1500,750,750
sentence-transformers/all-MiniLM-L6-v2,span,lit_sim_sense,0.34585000000000005,0.43375489205651807,0.6621,0.8411050681615934,0.029599999999999998,0.026404715951442614,1500,750,750
sentence-transformers/all-MiniLM-L6-v2,instruction_sentence,lit_sim_sense,0.2665666666666667,0.3831863355935202,0.5102333333333333,0.7458562142332636,0.022899999999999997,0.020516456953776803,1500,750,750
sentence-transformers/all-MiniLM-L6-v2,instruction_span,lit_sim_sense,0.36491666666666667,0.4498407149937986,0.7224666666666666,0.8965422915142114,0.007366666666666667,0.0031391384733858107,1500,750,750
vec-ai/lychee-embed,sentence,lit_sim_sense,0.12411666666666668,0.2482752530285777,0.1646,0.3228608730056747,0.08363333333333334,0.1736896330514807,1500,750,750
vec-ai/lychee-embed,span,lit_sim_sense,0.10853333333333334,0.17084439304631427,0.13343333333333335,0.2146519338174453,0.08363333333333332,0.12703685227518324,1500,750,750
vec-ai/lychee-embed,instruction_sentence,lit_sim_sense,0.19794999999999996,0.35970785642514347,0.2882,0.5078161449080613,0.1077,0.21159956794222545,1500,750,750
vec-ai/lychee-embed,instruction_span,lit_sim_sense,0.15873333333333334,0.2547009130628752,0.21036666666666667,0.3537901096821221,0.1071,0.1556117164436282,1500,750,750
BAAI/bge-base-en-v1.5,sentence,lit_idiom,0.23553333333333334,0.38090171072273793,0.2628666666666667,0.44724378491391836,0.20819999999999997,0.31455963653155755,1500,750,750
BAAI/bge-base-en-v1.5,span,lit_idiom,0.2726,0.42903529504053967,0.31626666666666664,0.5168042598373846,0.22893333333333332,0.34126633024369446,1500,750,750
BAAI/bge-base-en-v1.5,instruction_sentence,lit_idiom,0.22193333333333334,0.3434283592561448,0.32406666666666667,0.5326849548853728,0.11980000000000002,0.15417176362691665,1500,750,750
BAAI/bge-base-en-v1.5,instruction_span,lit_idiom,0.27981666666666666,0.42288448381182603,0.3930333333333333,0.6444948328421408,0.1666,0.2012741347815111,1500,750,750
BAAI/bge-m3,sentence,lit_idiom,0.2675333333333333,0.42125751060244254,0.26266666666666666,0.44587809913107285,0.27240000000000003,0.3966369220738121,1500,750,750
BAAI/bge-m3,span,lit_idiom,0.36861666666666665,0.5386215345894786,0.39830000000000004,0.6008798448166487,0.3389333333333333,0.4763632243623086,1500,750,750
BAAI/bge-m3,instruction_sentence,lit_idiom,0.30943333333333334,0.48619918408233886,0.3698,0.616385697369259,0.2490666666666667,0.3560126707954189,1500,750,750
BAAI/bge-m3,instruction_span,lit_idiom,0.4157166666666667,0.5657011810644228,0.5431666666666667,0.7658928141733417,0.28826666666666667,0.3655095479555037,1500,750,750
Qwen/Qwen3-Embedding-0.6B,sentence,lit_idiom,0.16096666666666665,0.27243254533121875,0.19473333333333334,0.34412797031644704,0.1272,0.2007371203459905,1500,750,750
Qwen/Qwen3-Embedding-0.6B,span,lit_idiom,0.258,0.38912345786594627,0.3339333333333333,0.5116359979422708,0.18206666666666668,0.2666109177896217,1500,750,750
Qwen/Qwen3-Embedding-0.6B,instruction_sentence,lit_idiom,0.28646666666666665,0.43284917925656236,0.3642666666666666,0.5583028081865373,0.20866666666666667,0.3073955503265873,1500,750,750
Qwen/Qwen3-Embedding-0.6B,instruction_span,lit_idiom,0.3095,0.4434748655278343,0.4336,0.6351371191941401,0.1854,0.2518126118615287,1500,750,750
Qwen/Qwen3-Embedding-4B,sentence,lit_idiom,0.20341666666666666,0.3249021360720014,0.2390333333333333,0.4013089548083619,0.1678,0.2484953173356411,1500,750,750
Qwen/Qwen3-Embedding-4B,span,lit_idiom,0.24216666666666667,0.3676158446375436,0.2974666666666667,0.468411348274191,0.18686666666666663,0.2668203410008962,1500,750,750
Qwen/Qwen3-Embedding-4B,instruction_sentence,lit_idiom,0.2735333333333333,0.41001957504324477,0.316,0.48566572321500373,0.23106666666666667,0.33437342687148586,1500,750,750
Qwen/Qwen3-Embedding-4B,instruction_span,lit_idiom,0.3631,0.5188983674535519,0.43273333333333325,0.6294606676201701,0.2934666666666667,0.4083360672869336,1500,750,750
bm25,sentence,lit_idiom,0.4267,0.5852107431978488,0.4509333333333334,0.6214210240541297,0.4024666666666667,0.5490004623415681,1500,750,750
bm25,span,lit_idiom,0.47408333333333336,0.4973030470988435,0.6652333333333332,0.7343895966883844,0.2829333333333333,0.2602164975093027,1500,750,750
facebook/contriever,sentence,lit_idiom,0.11206666666666666,0.20737001892148327,0.125,0.24131018275786603,0.09913333333333332,0.17342985508510053,1500,750,750
facebook/contriever,span,lit_idiom,0.48813333333333336,0.6541752109481804,0.5064666666666667,0.7022474379111471,0.46980000000000005,0.6061029839852139,1500,750,750
facebook/contriever,instruction_sentence,lit_idiom,0.17908333333333334,0.30072622632611473,0.20303333333333334,0.35836939149822367,0.15513333333333332,0.24308306115400574,1500,750,750
facebook/contriever,instruction_span,lit_idiom,0.51005,0.6440351095457411,0.5715,0.746019390061682,0.4486,0.5420508290298,1500,750,750
facebook/drama-1b,sentence,lit_idiom,0.21775,0.3494360872756586,0.21430000000000002,0.3639036820672204,0.22119999999999998,0.3349684924840969,1500,750,750
facebook/drama-1b,span,lit_idiom,0.5739833333333334,0.7272026436192661,0.6309,0.8123251322242231,0.5170666666666667,0.642080155014309,1500,750,750
facebook/drama-1b,instruction_sentence,lit_idiom,0.26311666666666667,0.41920259306408675,0.3601666666666667,0.6112882750146725,0.16606666666666667,0.227116911113501,1500,750,750
facebook/drama-1b,instruction_span,lit_idiom,0.5374333333333333,0.6628908317969813,0.685,0.8509372463096068,0.3898666666666667,0.47484441728435567,1500,750,750
hkunlp/instructor-base,sentence,lit_idiom,0.21805,0.36351768775313725,0.24463333333333337,0.41892273656162493,0.1914666666666667,0.3081126389446495,1500,750,750
hkunlp/instructor-base,span,lit_idiom,0.0078,0.007668224621921944,0.008799999999999999,0.0077744385203042015,0.0068,0.007562010723539683,1500,750,750
hkunlp/instructor-base,instruction_sentence,lit_idiom,0.23898333333333335,0.39601069244462267,0.31229999999999997,0.5302468531413456,0.16566666666666666,0.26177453174789983,1500,750,750
hkunlp/instructor-base,instruction_span,lit_idiom,0.006333333333333335,0.0061759376927693925,0.0076,0.005944898073997075,0.005066666666666667,0.006406977311541709,1500,750,750
intfloat/e5-base-v2,sentence,lit_idiom,0.22398333333333334,0.3649327460888453,0.2487666666666667,0.42171033095475197,0.19920000000000002,0.3081551612229387,1500,750,750
intfloat/e5-base-v2,span,lit_idiom,0.34525,0.5121995839893201,0.3819666666666667,0.5755950530321785,0.3085333333333333,0.4488041149464618,1500,750,750
intfloat/e5-base-v2,instruction_sentence,lit_idiom,0.27769999999999995,0.4423850901192101,0.34686666666666666,0.5770646320141941,0.20853333333333335,0.3077055482242262,1500,750,750
intfloat/e5-base-v2,instruction_span,lit_idiom,0.40188333333333337,0.5705261765547612,0.5018333333333334,0.721297653755865,0.30193333333333333,0.41975469935365756,1500,750,750
intfloat/multilingual-e5-large-instruct,sentence,lit_idiom,0.2816166666666667,0.4378113518820484,0.3059,0.5027757437844275,0.25733333333333336,0.3728469599796693,1500,750,750
intfloat/multilingual-e5-large-instruct,span,lit_idiom,0.39858333333333335,0.5729496038224231,0.4425,0.6498382085215682,0.3546666666666667,0.4960609991232781,1500,750,750
intfloat/multilingual-e5-large-instruct,instruction_sentence,lit_idiom,0.3496666666666667,0.5217185045145696,0.413,0.6287679602010094,0.28633333333333333,0.41466904882812955,1500,750,750
intfloat/multilingual-e5-large-instruct,instruction_span,lit_idiom,0.4547166666666667,0.626750133602333,0.5541666666666667,0.761634864860961,0.35526666666666673,0.4918654023437049,1500,750,750
orionweller/tart-dual-contriever-msmarco,sentence,lit_idiom,0.1396,0.24881005675278034,0.1610666666666667,0.30115646476600116,0.11813333333333334,0.19646364873955952,1500,750,750
orionweller/tart-dual-contriever-msmarco,span,lit_idiom,0.48425,0.6451986622214789,0.5737666666666666,0.7660225005624886,0.3947333333333333,0.5243748238804692,1500,750,750
orionweller/tart-dual-contriever-msmarco,instruction_sentence,lit_idiom,0.20818333333333333,0.3490412848243039,0.26676666666666665,0.4593210903192092,0.1496,0.23876147932939867,1500,750,750
orionweller/tart-dual-contriever-msmarco,instruction_span,lit_idiom,0.494,0.6058349988703678,0.657,0.8154954272340705,0.331,0.3961745705066652,1500,750,750
sentence-transformers/all-MiniLM-L6-v2,sentence,lit_idiom,0.22575,0.35684217993270956,0.25863333333333327,0.4198977246310548,0.1928666666666667,0.29378663523436427,1500,750,750
sentence-transformers/all-MiniLM-L6-v2,span,lit_idiom,0.46419999999999995,0.5966644304348786,0.5913333333333334,0.7819805527198797,0.3370666666666667,0.4113483081498777,1500,750,750
sentence-transformers/all-MiniLM-L6-v2,instruction_sentence,lit_idiom,0.37961666666666666,0.5274528890803297,0.47096666666666664,0.6771425957818508,0.28826666666666667,0.3777631823788086,1500,750,750
sentence-transformers/all-MiniLM-L6-v2,instruction_span,lit_idiom,0.46255,0.5524525675599898,0.6218333333333333,0.7698528855416965,0.3032666666666667,0.33505224957828317,1500,750,750
vec-ai/lychee-embed,sentence,lit_idiom,0.1341,0.24934142847688043,0.17173333333333335,0.330888545033609,0.09646666666666666,0.1677943119201519,1500,750,750
vec-ai/lychee-embed,span,lit_idiom,0.1138,0.16809312628995013,0.13693333333333332,0.21547584656280666,0.09066666666666667,0.12071040601709361,1500,750,750
vec-ai/lychee-embed,instruction_sentence,lit_idiom,0.23665000000000003,0.40133405694820906,0.2955,0.5119356145416751,0.17779999999999999,0.29073249935474293,1500,750,750
vec-ai/lychee-embed,instruction_span,lit_idiom,0.18796666666666667,0.2847868019104526,0.21486666666666668,0.3520435163951509,0.16106666666666664,0.21753008742575428,1500,750,750
